route_id,route_licence_number,sub_agency_id,sub_agency_name
L991,199991,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L992,199992,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L993,199993,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L1,199001,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L2,199002,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L3,199003,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L4,199004,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L5,199005,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L6,199006,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L7,199007,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L8,199008,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L9,199009,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L10,199010,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L11,199011,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L12,199012,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L13,199013,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L14,199014,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L15,199015,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L16,199016,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L17,199017,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L18,199018,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L20,199020,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L21,199021,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L22,199022,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L24,199024,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L25,199025,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L26,199026,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L91,199091,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L92,199092,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L93,199093,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L94,199094,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L95,199095,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L96,199096,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L97,199097,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L98,199098,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L99,199099,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L100,100100,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L101,100101,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L102,100102,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L103,100103,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L105,100105,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L106,100106,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L107,100107,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L108,100108,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L109,100109,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L111,100111,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L112,100112,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L113,100113,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L116,100116,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L118,100118,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L119,100119,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L120,100120,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L121,100121,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L122,100122,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
